,ZIP,UNITID,INSTNM,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PCTFLOAN,CDR3,UGDS_MEN,UGDS_WOMEN,LPSTAFFORD_CNT,LPSTAFFORD_AMT,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,PredominantDegree,HighestDegree,FundingModel,Region,Geography,AdmissionRate,ACTMedian,SATAverage,AverageCost,Expenditure,AverageFacultySalary,MedianDebt,AverageAgeofEntry,MedianFamilyIncome,MedianEarnings,LAT,LNG
0,36104,100724,Alabama State University,3903.0,0.0167,0.9352,0.0095,0.0041,0.0013,0.0005,0.0102,0.0102,0.0123,0.7845,0.203,0.371,0.629,34246,947070736,0.0,0.0,0.0,0.0,0.0892,0.0,0.0585,0.0,0.1169,0.0,0.0,0.0,0.0,0.0,0.0123,0.0,0.0,0.0831,0.0169,0.0,0.02,0.0108,0.0,0.0,0.0231,0.0,0.06,0.0938,0.0646,0.0138,0.0,0.0,0.0,0.0,0.0585,0.1677,0.1062,0.0046,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.5125,17,830,17400,7393,6557,15854.5,20.8899994,24029.5,22400,32.403254,-86.326893
1,36117,100830,Auburn University at Montgomery,4529.0,0.452,0.4131,0.0117,0.0221,0.004,0.0007,0.0393,0.0488,0.0084,0.5539,0.104,0.348,0.652,23340,493759303,0.0,0.0217,0.0,0.0,0.0339,0.0,0.1179,0.0,0.0854,0.0,0.0,0.0041,0.0,0.0,0.0136,0.0027,0.0,0.042,0.0041,0.0,0.0217,0.0474,0.0,0.0,0.0176,0.0,0.0379,0.0366,0.0,0.0407,0.0,0.0,0.0,0.0,0.0298,0.2886,0.1477,0.0068,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.8371,21,970,16556,6817,7173,10750.0,23.4300003,27378.0,32400,32.378728,-86.145011
2,36849,100858,Auburn University,24147.0,0.8078,0.055,0.0342,0.0236,0.0038,0.0005,0.0225,0.049,0.0036,0.3169,0.036,0.5115,0.4885,48346,1258831243,0.0414,0.0202,0.0181,0.0,0.0566,0.0,0.0098,0.0,0.0602,0.1911,0.0,0.0062,0.0348,0.0,0.0102,0.0,0.0,0.1108,0.0058,0.0,0.02,0.0,0.0021,0.0,0.0092,0.0,0.0279,0.0,0.016,0.0337,0.0,0.0,0.0,0.0002,0.0296,0.0623,0.2251,0.0087,Bachelor's,Graduate,Public,Southeast,Small City,0.8274,27,1215,23788,11324,9429,18250.0,20.3299999,71775.5,41800,32.60242,-85.487341
3,36106,101435,Huntingdon College,1078.0,0.6503,0.2171,0.0557,0.0093,0.0074,0.0009,0.0417,0.0009,0.0167,0.7096,0.098,0.5056,0.4944,4892,91105912,0.0,0.0,0.0,0.0,0.0261,0.0,0.0,0.0,0.0565,0.0,0.0,0.0,0.0,0.0,0.0174,0.0,0.0,0.1304,0.0087,0.0,0.0,0.1739,0.0043,0.0,0.0087,0.0,0.0174,0.0522,0.0,0.013,0.0,0.0,0.0,0.0,0.0043,0.0174,0.4522,0.0174,Bachelor's,Bachelor's,Private,Southeast,Mid-size City,0.6279,22,999,31433,6571,6027,16850.0,22.9099999,54275.5,33000,32.35282,-86.257585
4,36265,101480,Jacksonville State University,6394.0,0.7183,0.1866,0.0084,0.0067,0.0055,0.0005,0.0,0.0189,0.0551,0.6428,0.098,0.421,0.579,33028,840620761,0.0,0.0,0.0,0.0,0.0391,0.0,0.0253,0.0,0.0775,0.0,0.0314,0.0023,0.0345,0.0,0.0199,0.059,0.0,0.0391,0.0192,0.0,0.0,0.0054,0.0,0.0,0.0054,0.0,0.0215,0.0414,0.0637,0.0368,0.0,0.0,0.0,0.0,0.0399,0.2592,0.1587,0.0207,Bachelor's,Graduate,Public,Southeast,Small City,0.8326,23,1036,19202,6949,6857,16500.0,22.8199997,35158.0,31300,33.847655,-85.784916
5,36756,101541,Judson College,259.0,0.6988,0.2008,0.0232,0.0039,0.0232,0.0039,0.0039,0.0,0.0425,0.6794,0.177,0.0077,0.9923,1613,25153949,0.0571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0429,0.0,0.0,0.0,0.0,0.0,0.0429,0.0,0.0,0.0429,0.0143,0.0,0.0143,0.0,0.0429,0.0,0.0143,0.0,0.1571,0.0429,0.0714,0.0,0.0,0.0,0.0,0.0,0.0714,0.2429,0.1,0.0429,Bachelor's,Bachelor's,Private,Southeast,Remote Rural,0.7388,22,1023,27815,9293,5638,14250.0,22.6100006,43020.0,25300,32.683866,-87.27589
6,36756,101648,Marion Military Institute,392.0,0.6301,0.1709,0.0918,0.0255,0.0102,0.0,0.0714,0.0,0.0,0.4843,0.093,0.7602,0.2398,1764,13677823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Associate,Associate,Public,Southeast,Remote Rural,0.6034,22,1040,16520,6128,5909,5500.0,19.8700008,48241.0,37900,32.683866,-87.27589
7,35470,101587,University of West Alabama,2152.0,0.4326,0.4312,0.0191,0.0033,0.0042,0.0005,0.0274,0.0497,0.0321,0.693,0.078,0.4173,0.5827,24349,833054217,0.0,0.0,0.0,0.0,0.0395,0.0,0.0,0.0,0.1328,0.0,0.0791,0.0,0.0,0.0,0.0141,0.0,0.0,0.0508,0.0198,0.0,0.1864,0.0621,0.0,0.0,0.0028,0.0,0.0424,0.0,0.0,0.0198,0.0,0.0056,0.0,0.0,0.0,0.1525,0.178,0.0141,Bachelor's,Graduate,Public,Southeast,Remote Rural,0.9957,20,950,17959,8898,6408,13500.0,22.5599995,23735.0,32200,32.561974,-88.066347
8,36613,101693,University of Mobile,1294.0,0.5796,0.2519,0.0193,0.0162,0.0216,0.0062,0.034,0.044,0.027,0.6473,0.096,0.3601,0.6399,9023,257631630,0.0,0.0,0.0,0.0,0.0202,0.0,0.0034,0.0,0.1077,0.0,0.0,0.0,0.0168,0.0,0.0067,0.101,0.0,0.037,0.0303,0.0,0.0404,0.0505,0.0673,0.0707,0.0,0.0,0.0808,0.0,0.0,0.0168,0.0,0.0,0.0,0.0,0.0438,0.1178,0.1751,0.0135,Bachelor's,Graduate,Private,Southeast,Fringe Rural,0.7125,23,1058,30108,6715,5024,22500.0,25.1299992,37643.0,32900,30.809841,-88.18745
9,35115,101709,University of Montevallo,2251.0,0.6726,0.1666,0.0542,0.0107,0.0036,0.0018,0.0391,0.0275,0.024,0.5708,0.073,0.3319,0.6681,10663,227084707,0.0,0.0059,0.0,0.0,0.0431,0.0,0.0,0.0,0.1275,0.0,0.0,0.0078,0.0353,0.0,0.0863,0.0,0.0,0.0353,0.0059,0.0,0.0,0.0686,0.0,0.0,0.0196,0.0,0.0608,0.0,0.0686,0.0451,0.0,0.0,0.0,0.0,0.1667,0.0569,0.1235,0.0431,Bachelor's,Graduate,Public,Southeast,Large Suburb,0.8729,23,1070,20209,7719,7035,15872.0,21.5599995,48019.0,30400,33.142473,-86.891528
